address,ion-total
osmo13nmu649t7nskn9ewhxh7054cly647nkcj3pw3k,0.005548
osmo13nnp438pzfcehqdf4kuguwq6h5q8phatffsv60,1e-06
osmo13nxc62aftrqhdmpecasyu5qz89g7a8fucut393,0.025152
osmo13nxuryjf6psvxhrvm2efln0x7ksjtav37v7zms,0.000205
osmo13pdhmj2l7zm70hxau8l0620am4vwteqf48ru8e,0.500075
osmo13pdne9fzh39wtpkazg2qnf3weql43nlzzlg32t,0.000494
osmo13pw2eflhygv2rll337fze6m24gu04h58we28q2,4.196477
osmo13q8ds76ewtndtq9gtlpzgk069jk9lv2g7qwehn,0.055365
osmo13qdpkj7dds8l7wul0yk49l5u2ry92y429yxyzy,0.060021
osmo13qmz4tnvqjuyfegnle35farscnz4f0avx3gr78,0.528838
osmo13qnk6enxksq9msvfa8yx3ew9n3wzk37emrpnut,0.025875
osmo13rvluclna0ry970vsjg4dm6x3gav23c64tx7zq,0.083442
osmo13selavvmruna0z3q4ghmt2ft2fh65wyd5wx0gm,0.086979
osmo13sjkdmdrg29l2xtdtqrx4kvw882qt7rfusljs9,0.818363
osmo13stzqk27y46cr8fz7vfr8dsqqk4wpz90fqmc23,8e-06
osmo13ugmpjgtpzqfmgz0835teyjycvhv266r2whjp7,0.584919
osmo13ul4aenfqnyq9ehhdv9ln56a2we7ja59vz8cn5,0.255344
osmo13uup3md785lsd74aws4hx2et052mferw8n6yat,0.036503
osmo13uus00dk300jg7n02rdh9dxzfkgfyj90y6qlrh,1.0
osmo13v75r6zxx22p5yg5f2ll5w8g3lqd9yegrgszp2,3.430609
osmo13vwzpmmada8aangxtjyfschf04fh7mfj209m80,3.971163
osmo13wanwq55svzk9pqj45q75l3ft2gprzce5rgk49,0.305509
osmo13wrtdfps0eadzxwkgxtpk20w85tvdg3el4e99m,0.000352
osmo13wty05763rtts3ca0waun5m2cshwu0qp5whys9,0.1986
osmo13x76xa23hurf00c755n8n0fa58zlnz0m98qv9n,0.040537
osmo13x77yexvf6qexfjg9czp6jhpv7vpjdwwmtsu0q,9.000002
osmo13ykqh0kay73rp6q6jz4mumkwdf258l6dcep59g,0.025159
osmo13z7veaqncplqr3t0lazx0hq8zlw2srycset8hc,1.847674
osmo13ze97zcysvwxmpu0zpeq7fr5wx44advd0wsuu6,0.003829
osmo13zg9kuuyy3qcauta35efsmdpudeqztn6c3avpd,0.014506
