address,osmo-total,ion-total
osmo13jepslvn24g6n8s92fjztcymutt4kte8mymuxh,2103.261615,0.181794
osmo13jh9zu2jv3eym3ll6zq90qsavman3sw8aw4smy,151.150594,0.20511
osmo13k6qfw70078hzfwmnxucaz22tvfst526z9tqwp,8258.540282,5.649028
osmo13klmx3qxht9vn7luwz2hm7g9sa6nnjaz4xhf6x,580.584899,0.034228
osmo13l2cphu2rldhmygrwn2un79j05rhywnkwvvlw6,3782.235886,2.0
osmo13lc3a5z2leysy437ps8dwj5gs7y9tna6lj0ptx,342.296123,1.004141
osmo13lfwqjqfzfe2muq3j273y2l2tuzgkrp8jt5j0u,76570.29343,0.852437
osmo13lmh7zyl4rtvvxyx9tszwfv4efsmfz7ar22j7j,2279.078227,0.316944
osmo13lmkeht48fahj6p5se2q07dwj3xczhqnw342cx,572.165106,0.641786
osmo13m050t4v96jldvmmv9t7xjdcyhhernm04qy4hc,94.247008,0.010338
osmo13m9gpdjfnfuff9khc39jatcjhkjkfryn34w27w,807.873042,0.063696
osmo13mcn4q9gtrh38p73v4gx37ljwgtydy030uxheh,1471.132868,0.11947
osmo13mdcl758ve9lyh6vwz7m9707356snth4arh8dy,1300.801443,3.0
osmo13mzcw7ezlgzcgpls7xqxpsg5qqsxvp8j9nd52p,333.858658,1.0
osmo13nfqamuxqlxqh3w609nhqf5r8vrrcz4pfahcpt,137.65337,0.005351
osmo13nmu649t7nskn9ewhxh7054cly647nkcj3pw3k,5.005671,0.005548
osmo13nnp438pzfcehqdf4kuguwq6h5q8phatffsv60,33807.7145,1e-06
osmo13nxc62aftrqhdmpecasyu5qz89g7a8fucut393,163.65413,0.025152
osmo13nxuryjf6psvxhrvm2efln0x7ksjtav37v7zms,0.490051,0.000205
osmo13pdhmj2l7zm70hxau8l0620am4vwteqf48ru8e,22.093328,0.500075
osmo13pdne9fzh39wtpkazg2qnf3weql43nlzzlg32t,83.228145,0.000494
osmo13pw2eflhygv2rll337fze6m24gu04h58we28q2,14371.010553,4.196477
osmo13q8ds76ewtndtq9gtlpzgk069jk9lv2g7qwehn,1302.173171,0.055365
osmo13qdpkj7dds8l7wul0yk49l5u2ry92y429yxyzy,2309.03,0.060021
osmo13qmz4tnvqjuyfegnle35farscnz4f0avx3gr78,1249.322983,0.528838
osmo13qnk6enxksq9msvfa8yx3ew9n3wzk37emrpnut,333.486068,0.025875
osmo13rvluclna0ry970vsjg4dm6x3gav23c64tx7zq,650.069404,0.083442
osmo13selavvmruna0z3q4ghmt2ft2fh65wyd5wx0gm,97.368784,0.086979
