Address,Genesis Qty,Clawback Qty
osmo189psxs56n9xjlxrfn2cjv70dx0x64rgv9t44qm,1,0.0175
osmo18c8m3854ehsjht9qnx295fh9y4fszpex435sje,1,14.1532
osmo18cyhgfl2tm59l33vh6hmrjet0jqte3ltz2umwu,1,0.919096
osmo18etwx78wywl6k8e8z76de5sn50nzhuq8xudwv4,1,1.0
osmo18fg6lnzr2pa8fdgx59we6mjx8j9xazammvw8d3,1,0.97198
osmo18gaw003c9hx49sdtxavxqmmmmzefhml8dayysx,1,1.018167
osmo18ghjkwygsvjcsh20tc5zzhfttxxuex7awh8yf9,2,1.002399
osmo18h4kx4935mae7hk3a677e6pssz36aksx97wna3,2,1.0
osmo18jj8eq7xpyqdv9cdxpyxn0ulspmhx424tt60va,5,4.058416
osmo18jmylp5ddfhv4gzzm0lrvk92xy9aa6x59s94zr,1,1.015477
osmo18jtj2tpzcd6vd0kkdcfdsymgzlmclw9ef8w4s2,1,0.014574
osmo18lnd2qfx3recvrmk865twk32jnllgacrsf0eu5,3,2.659111
osmo18lz45r3jznse0rxrfn79mxeepwt8kt0y6r7t4u,1,0.5
osmo18muyl5yh9mr6ma3jkmn84kyy7jaxgrqdxhwqgu,1,0.915392
osmo18n3vlcthxv5s2s4zgjdrjr5a6lw9e7tm09jk8t,1,1.0
osmo18nayqvxemsp4atf77lhpd8ytcc5w0ut7tl2huz,1,1.0
osmo18npp0s2tffdx29qc0wrw8d48xrgcx2apxp7t68,1,1.0
osmo18q8j2fddv6k33rzvuvwdjenapkmn53atdzxlcl,1,0.385436
osmo18r44epe6ju5pa5vd4rdf8yssqtrpjhzd7t6tt8,1,0.010767
osmo18r72flynzn768us36dygfn6c6dn7gtmfdx30tc,2,0.547382
osmo18u9qxcff3sylzfpeqwe9p5zxcu8wffsz663zz8,1,0.034266
osmo18uekcazhharfnl27e67jw82xzt0thqm02vfxch,1,2.75439
osmo18umk4jenevvqvwcsrxmev65x5n76ml47aem3j5,3,3.0
osmo18v9z53lxlwzc2mq0e4h45cmr64gu2g6wjl79l5,2,2.0
osmo18wkxg7yzpa8dctcdm8p2cgtux5v8293ka6pcgu,1,1.0
osmo18xhs7tmx833m36y7gvq9y4pqtymuu9xaqj4e88,1,0.805551
osmo18yn2hrfh50rsarrcg4czgtq7h7mynl2u8379qz,1,0.994163
osmo190vuy48awvz70uydlujg745g3nl67r436a2h9c,2,2.0
osmo190wd7qz430c9u0jq7ngcwv5r6h7l3yps6nn3kj,1,0.991026
osmo1968mh9rmp0p29k6yzqxn6se4fca23882w0vlf5,1,0.931068
osmo196ax4vc0lwpxndu9dyhvca7jhxp70rmcpv4q4e,8,4.000011
osmo197dq6ehzafs7vqwa73yhewyktg3xt4uca9yt3c,1,0.302301
osmo199jn84a8c6hauhdx70vrzpagn8fwfr78utesr5,1,1.0
osmo19atggawer8mzqm282dgjat052j7nq76rk5dsks,1,0.413953
osmo19dde6w7akqt3uwluh2ypvyezztd9w2pusanccl,1,0.979169
osmo19g2rynuj6u5a4a9m5e9g3hv2m7rdwln2trvrw5,1,1.0
osmo19gcmdjeyhh54v5j4xgsh0rv342jkqhzkfj6tsx,1,0.260578
osmo19jacek34hcexu8nfm5nwv4xac6m27rvlrj27yx,1,1e-06
osmo19kcazvgqzt6u9qh9fq7j6u2nym8ymcjwpf64xu,1,0.48931
osmo19lcm9zhkv5qq6whp2mx47qzg0fm8ka8w0rsz05,1,1.34304
osmo19ltz27ewvd0g6gk66psfhe7af3g2kl6tdd2x28,1,0.721904
